sample_index,id,unique_id,host,dopant,defecttype,site,target_eV,natoms,spacegroup,supercell
100,148,a8d0706b9498641bc3efede25fbef3bc,NbS2,F,adsorbate,ads1,-0.8984218375000035,28,187,331
101,149,2d8792d5e60d51df8d8cc8b5793b5980,NbSe2,Re,interstitial,int3,3.1440042200000065,28,187,331
102,150,9816612d06fc3bad3f01ecf845a13f05,NbSe2,C,interstitial,ads2,2.4271687075,28,187,331
103,151,a93b272edcc339f99b8755bb3db8d132,WSe2,Au,adsorbate,ads0,2.416406512499962,49,187,441
104,156,c76562dc2570a50a37754531cf4e94fd,MoSe2,Co,adsorbate,ads2,3.765279614999972,49,187,441
105,157,3714a8397d87567848f789baa473bd4f,NbSe2,Rb,interstitial,int0,8.332362534999996,28,187,331
106,158,62baf457de2f852da406c0b9b781d05e,MoS2,Be,interstitial,int0,3.8190795849999577,49,187,441
107,159,d77b0c9bcd8bebf38157a226b5353f08,MoSe2,Cr,interstitial,int2,13.515392024999992,49,187,441
108,160,fcbb518bf44ca0b7a2c1f85174cae628,MoS2,Lu,adsorbate,ads1,2.4309449949999538,49,187,441
109,162,3973108c3dd3231c4ae1c3f485872d48,WSe2,Se,interstitial,ads0,1.4487232933333076,49,187,441
110,163,cd03b4485d3e1fbda9af816531d59f44,NbSe2,Tl,adsorbate,ads1,-0.7440425650000044,28,187,331
111,164,9881398381146f81af6cfdb6978c0d24,NbS2,Cd,adsorbate,ads2,-0.0806888099999959,28,187,331
112,166,92a5b8932e2521b6f550a914fa95c2f0,MoS2,Ni,adsorbate,ads0,3.143041044999988,49,187,441
113,167,2531084d4f13e5471c987ba45b3977c6,WSe2,O,adsorbate,ads1,2.17519561499995,49,187,441
114,169,ed26e5ea1a3d63194833644538e51e87,WS2,K,interstitial,int3,14.677700240000007,49,187,441
115,171,3d103e3f203779b9b7faf1f1dc2f4bf8,MoS2,Ge,adsorbate,ads2,2.71680445499998,49,187,441
116,172,ae8272c68505d1cedf05aa0a15a24c71,SnS2,Co,interstitial,int3,0.1968064249999948,28,187,331
117,173,95e824b25f01c9c19b72f7ec189d1fb5,WSe2,Ga,adsorbate,ads2,1.9841059937499752,49,187,441
118,175,f850966890f29df8749a790ef0faac41,SnS2,Pd,interstitial,int4,2.9369652449999952,28,187,331
119,176,77fc9c364a7646c0eb86cfedb094586b,WS2,Sb,interstitial,int0,13.032978510000008,49,187,441
120,177,31b9461a986cdbaa9de0d90bf2a7a489,MoSe2,Re,interstitial,int4,6.175869699999971,49,187,441
121,181,c4295c0c6c801f21011582985966de33,WSe2,As,adsorbate,ads2,2.9048049649999617,49,187,441
122,182,a10fbc68258e4e37eb4e4dcbceeed009,SnS2,Ba,adsorbate,ads0,-1.222869020000004,28,187,331
123,183,74d9699ea0b5458b89eeb346253fff6a,NbS2,Fe,interstitial,int1,12.08187556,28,187,331
124,184,a16848323070f2fa2b87dd4607a7db2f,WTe2,Zr,adsorbate,ads1,4.500697865000005,28,187,331
125,185,fb3934d411a981a425575a146cb223b9,MoSe2,K,adsorbate,ads0,-0.0102256300000067,49,187,441
126,186,74269e49912813dcce9598fd1c6a8543,MoSe2,Se,interstitial,ads1,2.2289358833333264,49,187,441
127,187,fd9d61568ea9e3582a3ff2d0b87b3c4c,MoTe2,F,interstitial,ads2,1.0581960025000037,28,187,331
128,188,ae099199b33cfffe5f4e3d05afdd6c71,WSe2,N,adsorbate,ads0,4.630730829999953,49,187,441
129,189,f3ef02dacb474540f8683f53e404f30f,MoS2,Ta,adsorbate,ads2,6.345291480000008,49,187,441
130,190,416ca5d51a27488e41a26e8a3c201450,NbSe2,Pb,adsorbate,ads0,0.3082699749999889,28,187,331
131,191,df61f4f37d01f38ecf2b34d9d38e7cc5,WSe2,Te,adsorbate,ads2,2.1529434799999816,49,187,441
132,193,9b1dfea2e55e30a5ffdfd06e6753d297,MoS2,F,adsorbate,ads0,-0.4696768675000351,49,187,441
133,194,394efa4ab80aa7255413df42cc5fe6ba,SnS2,Cs,adsorbate,ads2,-2.1607199450000047,28,187,331
134,196,4fbdd20bc937f82fc6d4d0bc9425101a,WS2,W,interstitial,ads2,7.456943134999994,49,187,441
135,199,7757b9004fe2f924d9527a641dcce5ef,SnS2,Tc,interstitial,int0,1.1682383250000044,28,187,331
136,201,786430abfa99d9c44b67a50438719367,MoS2,In,adsorbate,ads1,-3.1704174,49,187,441
137,202,b58af989de748d490a865ae5bc71a7bc,MoSe2,Au,adsorbate,ads1,2.38920599250001,49,187,441
138,204,1d577f4b5feb8db53c8353df02ce2f53,WS2,P,adsorbate,ads1,3.6608267800000327,49,187,441
139,205,c3d02a84451213b85d2d9d15079845b5,WS2,Nb,interstitial,int4,8.961640050000009,49,187,441
140,206,e3e741f3c0102224fc454ea001753e26,WSe2,Sc,adsorbate,ads2,3.2983030849999904,49,187,441
141,207,d93f96dc96e6e8495d3e24a49ad7559b,NbS2,Si,adsorbate,ads2,0.3068925050000093,28,187,331
142,208,ec253db52037b416c57a87158de8c250,MoS2,Cl,adsorbate,ads0,0.6775253199999964,49,187,441
143,209,acb65979274e2abefa896a49cef76ee1,MoTe2,Fe,interstitial,int4,1.5830608600000016,28,187,331
144,212,fc926d89aff915803143157ccfb9b9b1,MoTe2,Mg,adsorbate,ads0,1.4769425750000211,28,187,331
145,214,86d83efb4bb6f27017b90a8c0f8404c1,WTe2,As,interstitial,int3,6.984483815000013,28,187,331
146,215,5303b0ddf4d09fd18cca42ae6162c0a9,NbSe2,P,interstitial,int4,1.8825928699999928,28,187,331
147,218,a9ac65f534a39cbb9d36f4b51173b728,MoTe2,Ge,adsorbate,ads1,2.764189995000001,28,187,331
148,219,abf1f62c730fb9b0369b962ef9c85520,MoS2,Ru,adsorbate,ads0,6.695114195,49,187,441
149,220,2d8a36bf7f9e962c2bdb04e81248c4d0,MoSe2,Sb,adsorbate,ads2,2.5794036099999724,49,187,441
150,221,75320d0f18cbf149abecb366b3bf8ebc,WTe2,Cr,adsorbate,ads2,3.5189883450000057,28,187,331
151,222,35918a7dabfd4fe2a24c3ae88be57711,WS2,Cs,adsorbate,ads1,-0.326777524999977,49,187,441
152,223,19e1eba8631cd2874d33404e73bb7331,MoSe2,Zn,adsorbate,ads0,1.0695250099999705,49,187,441
153,224,92b8bda6e35a97fca018f949563396fe,SnS2,B,adsorbate,ads1,-0.409124702499998,28,187,331
154,226,980c4bc18ae101cdf37a086a0000825e,NbS2,Os,adsorbate,ads0,6.0477624000000025,28,187,331
155,227,3e7e63f2a2a37bc94adb9122ba639980,NbSe2,Br,adsorbate,ads0,-0.0017029837499902,28,187,331
156,229,fe1aa6652267aa103ed922269d21ca86,MoTe2,Lu,adsorbate,ads2,2.96544800500002,28,187,331
157,231,cd436da091a3b6ae0127ecafcbeb27ae,MoTe2,Hg,interstitial,int2,9.419899415000003,28,187,331
158,232,215835158a323826f716b664bffca709,MoSe2,Tc,adsorbate,ads1,5.0327355049999625,49,187,441
159,233,d3785d02a9769c20231b3afa9a451054,WTe2,Co,interstitial,int2,3.7963813450000177,28,187,331
160,234,5d7b9c959cda0b3badce26a330d4fcd0,SnS2,Au,interstitial,int0,5.2025992625000015,28,187,331
161,235,8cc5c70a87076590d0c758cf48cec3af,NbS2,Cr,interstitial,int1,13.205266615000006,28,187,331
162,237,dbe8e615f22fdef4e2acac27acb697c7,NbS2,Te,adsorbate,ads0,0.8235874499999962,28,187,331
163,238,b4419dd02a19e1cf5a2044bd3dc59c97,WSe2,Be,interstitial,int4,3.3601567949999835,49,187,441
164,239,e3d190acf74ba68b2641a0ce80f5f1c0,MoS2,Pd,adsorbate,ads0,2.17859534499999,49,187,441
165,241,585b26d24b883b2733228478de049fd8,MoS2,Ca,adsorbate,ads1,0.9463262075000054,49,187,441
166,242,637a0c5e55e88e3b71c12f311f19dc6a,MoTe2,Pb,adsorbate,ads1,2.2272179950000046,28,187,331
167,244,4bf626c363a5a9a0192aee6eb57098aa,NbSe2,Ir,interstitial,int2,9.045820962499995,28,187,331
168,245,3f45d2f3a17adc41bd6507953de8b05f,NbS2,Co,adsorbate,ads1,1.2756676850000055,28,187,331
169,246,caec4ec35918c57574086f56890c7e6d,WSe2,Y,interstitial,int2,12.036410239999984,49,187,441
170,247,f8bbea4eda35f3844f2c693f572ea283,WS2,Xe,adsorbate,ads1,0.0192272400000055,49,187,441
171,248,49736b893fb0645066858df4058e3cec,SnS2,Sr,adsorbate,ads2,-2.2725844625000047,28,187,331
172,250,329d971545ab9d61c6f5cc36e713450e,NbS2,W,interstitial,int1,15.027032394999996,28,187,331
173,253,559a822e95c193eaf0fb2ad3d9230bde,SnS2,O,adsorbate,ads0,-1.102022974999997,28,187,331
174,254,2a932a5554f7156a78f86b84b66324c8,WSe2,Fe,interstitial,int3,4.175078439999977,49,187,441
175,255,ed008bd6e0d11ace41c9cc807e42f9fd,NbS2,As,adsorbate,ads0,1.4705787650000068,28,187,331
176,256,40930acf9cde4429a0b8c2c95cd05278,MoSe2,Cd,adsorbate,ads1,0.7064835599999831,49,187,441
177,257,e28ca1fa740a2c96de24653186b0af54,NbSe2,O,interstitial,ads2,-1.4022194249999984,28,187,331
178,258,797c5ddf0f81a4c13c316db09229a7c9,WTe2,Mo,interstitial,int2,4.67295983,28,187,331
179,259,8be2e7b95aacc4640f3a453203e35bc1,NbSe2,Al,interstitial,int2,4.804132492500003,28,187,331
180,260,ceb7a63144e3ce1e1ae733e1d6ddda99,MoSe2,F,adsorbate,ads1,-0.1529433375000133,49,187,441
181,261,38d767f0b8014f77e2b8430f582eb667,NbSe2,Hg,interstitial,int3,5.972200855000009,28,187,331
182,262,8411721205c80b3128f8f6b508b89a6e,NbSe2,Be,interstitial,int2,1.966790214999992,28,187,331
183,263,3f9b06506be4d6bc667107f0a0adce95,NbSe2,H,adsorbate,ads1,0.3277619175000001,28,187,331
184,264,8cc8fdb7e614ce56d1abb4c7e272f4ce,WS2,Sr,adsorbate,ads1,1.0373691275000014,49,187,441
185,265,a03dbe847567f967ecd4791591880f6a,MoTe2,Br,adsorbate,ads1,0.4154902162499954,28,187,331
186,266,c666f4c3dc3d1ec3fe8839277891d793,SnS2,Xe,adsorbate,ads2,0.0458825399999929,28,187,331
187,267,7061ba30c3ec5d1b7e43c71b454b804a,WTe2,Lu,interstitial,int4,5.103539404999999,28,187,331
188,270,eb63ec21e09da7032aa6ba130967b7cf,WSe2,Os,adsorbate,ads2,7.549666199999981,49,187,441
189,271,83746972a5e3dd6b3caa6a9734b32e2c,WS2,H,interstitial,int4,2.0898890974999933,49,187,441
190,272,d033a2fbdd4ea10add884e31a1cbd65d,MoTe2,Cr,interstitial,int4,2.0826426550000097,28,187,331
191,273,82a59ca91a061c579a85a790418de053,MoS2,Rb,interstitial,int2,19.41145375499997,49,187,441
192,275,d1952855eeec86fc11b6f74e43a3c684,MoS2,Ag,interstitial,int3,10.471887907499992,49,187,441
193,276,ace103ac38b84079f46b92d25e847b99,NbS2,P,interstitial,int2,3.4135246099999925,28,187,331
194,277,2c2cba286a75af352dc2819576cf140c,NbSe2,Ni,adsorbate,ads2,1.4654103750000034,28,187,331
195,281,cf4dcb2738246fbdc97e98a0410bff9c,SnS2,Ti,interstitial,int2,2.325306764999997,28,187,331
196,282,16b88f09e922af634308c900edfd34f7,NbSe2,Mg,adsorbate,ads1,-0.4824975950000008,28,187,331
197,283,ba4754fd528f57507d39bf15622dfdd3,NbS2,Sc,adsorbate,ads0,0.5332858850000015,28,187,331
198,284,c09270380852d8d7aa3d9043b24d48f9,MoS2,K,adsorbate,ads1,-0.3521189100000288,49,187,441
199,285,677dbbe541d6a2d346b222e8d374fa07,WSe2,Si,adsorbate,ads0,3.524596224999984,49,187,441
200,288,c54ee49e6d6e52e401acd182d9886a26,WTe2,Fe,adsorbate,ads2,4.136293570000005,28,187,331
201,289,bbbf62c043ad22dacf25d1539668cf15,MoSe2,Pt,interstitial,int4,6.355334507500018,49,187,441
202,290,5de7e0c7b4c574017f179e61ecebf145,WSe2,Al,interstitial,int4,4.844886552499986,49,187,441
203,291,164effaa3f70d4fc5ebf881339e7296f,NbS2,Cu,adsorbate,int2,0.3310815324999994,28,187,331
204,292,30a714be90d34f9441228ff36ed5fe60,WSe2,C,interstitial,ads1,6.100071517499954,49,187,441
205,293,b21f69ab0464fb61c97a02abd0275623,NbSe2,Li,interstitial,int2,3.680102970000009,28,187,331
206,294,c7ef828c2959becf0268b3cf0e20e73b,MoSe2,Mo,adsorbate,ads2,5.5613948999999865,49,187,441
207,296,53e80d3ea1e1596c8cd8a1fe9775ab00,MoS2,Cu,interstitial,int4,6.6556896424999845,49,187,441
208,298,f9b2e4b06121e46e096c2b20bbe0c3a8,MoSe2,Si,adsorbate,ads1,3.623392485000013,49,187,441
209,299,d2bbde6d4528be07e24911035a8dccbb,NbSe2,Hf,interstitial,int2,12.39556532,28,187,331
210,301,b057dac40ed9ba68ab0faa491254f253,NbSe2,Sr,interstitial,int4,6.367600537500013,28,187,331
211,302,bee2a18a385d78497a6f368c9c8bfb48,SnS2,I,adsorbate,ads2,0.3032433349999965,28,187,331
212,303,229ceb32ac15ac946e442ec1d8a8393c,NbS2,Au,adsorbate,ads2,1.355480272500004,28,187,331
213,304,6af7e5fa4c5ce0994ffaba6f7978fb09,NbSe2,I,adsorbate,ads0,0.2107620449999874,28,187,331
214,306,46cd64d6825331223802c0fa35f4a7fa,WSe2,Ti,adsorbate,ads2,4.074545154999985,49,187,441
215,307,259446d07d035f90189c8844c82e2b5e,WS2,Fe,adsorbate,ads0,4.337067000000031,49,187,441
216,308,fd293d0cbb2e3878b47718e17d27a7d8,WSe2,B,adsorbate,ads0,5.551276067499965,49,187,441
217,310,54ad62ecae27ab042a4f83d8c433ecdd,WS2,F,interstitial,int2,8.018441632500009,49,187,441
218,311,25702d9582f681fde2d06414bb1752b8,WSe2,Mn,adsorbate,ads2,3.5049159824999467,49,187,441
219,312,1cda49c7b7dfbd16e13db43f4acbc694,MoTe2,Nb,adsorbate,ads0,6.865842910000005,28,187,331
220,313,b43f4d5415f4ed701a0fdba797e94e8f,NbS2,Rb,interstitial,int4,10.223738925,28,187,331
221,314,ecc6d8817beb4e1dde4fce07f8340080,SnS2,Na,interstitial,int0,3.378108016666664,28,187,331
222,316,ec4a130918037885e7370c0fc82e670b,NbSe2,Ta,adsorbate,ads0,5.854546840000007,28,187,331
223,317,22aa0d8a9104b420dab60e3e44316070,MoTe2,Ca,adsorbate,ads2,1.321990747500008,28,187,331
224,318,c00872f50cdda77b4883a9cfef4c5a85,NbS2,Sb,adsorbate,ads1,-0.4163013699999985,28,187,331
225,319,8282feb0f432ecb9e01224918b015af4,MoS2,Pb,adsorbate,ads2,-3.9715077350000296,49,187,441
226,320,962da1ca55070bf6f1830ac2f1f2017f,WSe2,Li,interstitial,int4,3.6366475399999567,49,187,441
227,322,fef45e36de26a11a30c29e6cd26f31a7,NbSe2,Pt,interstitial,int3,3.3151032775000004,28,187,331
228,324,89481ae847e3164cf78678b4bc613964,WSe2,Cd,adsorbate,ads0,0.7375341999999726,49,187,441
229,325,5682933adc13636e0f39ba7966987690,NbSe2,Xe,interstitial,int4,11.660326949999998,28,187,331
230,328,598ff48c3c3f2b0c8675d3f1940d20d4,WSe2,Hf,interstitial,int4,6.3017873299999945,49,187,441
231,329,dab338232afaa49f749e62e99ad38355,MoTe2,Tl,adsorbate,ads0,1.2563437050000026,28,187,331
232,332,28da4d03079faf64e203262a1339dace,NbS2,Ga,adsorbate,ads0,-0.1555329962500051,28,187,331
233,333,a746f8dc00228e923818a8d7148fb5fc,MoS2,P,interstitial,int3,6.0759006700000056,49,187,441
234,335,f993049377195f318721ae73f920ca11,NbSe2,Cl,adsorbate,ads2,0.6918896699999904,28,187,331
235,336,31748b306a3c2595e0865d78b396887d,MoS2,Br,adsorbate,ads2,0.8940257562499627,49,187,441
236,338,952b125bae9fde9e6c449f0540e78262,SnS2,Ni,interstitial,int4,2.5249729749999954,28,187,331
