host,dopant,dopant_Z,dopant_period,defecttype,n_sites,true_best_site,n_tied_true_best_sites,predicted_best_site,exact_site_correct,top2_eligible,true_best_in_predicted_top2,uniform_exact_expectation,uniform_top2_expectation,screening_regret_eV,exact_gain_over_uniform,top2_gain_over_uniform
As2,Mg,12,3,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
As2,Mn,25,4,adsorbate,3,ads2,1,ads1,0,1,1,0.3333333333333333,0.6666666666666667,0.0028926800000024233,-0.3333333333333333,0.33333333333333326
As2,Mo,42,5,adsorbate,3,ads2,1,ads1,0,1,1,0.3333333333333333,0.6666666666666667,0.12851360999999883,-0.3333333333333333,0.33333333333333326
As2,N,7,2,adsorbate,3,ads1,1,ads2,0,1,1,0.3333333333333333,0.6666666666666667,0.3576956200000012,-0.3333333333333333,0.33333333333333326
As2,Na,11,3,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
As2,Nb,41,5,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
As2,Ni,28,4,adsorbate,2,ads2,1,ads2,1,0,,0.5,,0.0,0.5,
As2,O,8,2,adsorbate,2,ads0,1,ads0,1,0,,0.5,,0.0,0.5,
As2,O,8,2,interstitial,2,int1,1,int0,0,0,,0.5,,0.7554203299999924,-0.5,
As2,Os,76,6,adsorbate,2,ads2,1,ads2,1,0,,0.5,,0.0,0.5,
As2,P,15,3,adsorbate,3,ads1,1,ads2,0,1,1,0.3333333333333333,0.6666666666666667,0.03268855000000315,-0.3333333333333333,0.33333333333333326
As2,Pb,82,6,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
As2,Pd,46,5,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
As2,Pt,78,6,adsorbate,2,ads1,1,ads1,1,0,,0.5,,0.0,0.5,
As2,Rb,37,5,adsorbate,3,ads2,1,ads1,0,1,1,0.3333333333333333,0.6666666666666667,0.02041159999998854,-0.3333333333333333,0.33333333333333326
As2,Re,75,6,adsorbate,2,ads2,1,ads2,1,0,,0.5,,0.0,0.5,
As2,Rh,45,5,adsorbate,2,ads2,1,ads2,1,0,,0.5,,0.0,0.5,
As2,Ru,44,5,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
As2,S,16,3,adsorbate,3,ads1,1,ads1,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
As2,Sb,51,5,adsorbate,2,ads2,1,ads2,1,0,,0.5,,0.0,0.5,
As2,Sc,21,4,adsorbate,2,ads2,1,ads2,1,0,,0.5,,0.0,0.5,
As2,Se,34,4,adsorbate,3,ads1,1,ads1,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
As2,Si,14,3,adsorbate,3,ads2,1,ads1,0,1,1,0.3333333333333333,0.6666666666666667,0.0854656300000014,-0.3333333333333333,0.33333333333333326
As2,Sn,50,5,adsorbate,3,ads2,1,ads1,0,1,1,0.3333333333333333,0.6666666666666667,0.23000727000000154,-0.3333333333333333,0.33333333333333326
As2,Sr,38,5,adsorbate,3,ads1,1,ads2,0,1,1,0.3333333333333333,0.6666666666666667,0.01114273999999682,-0.3333333333333333,0.33333333333333326
As2,Ta,73,6,adsorbate,2,ads1,1,ads1,1,0,,0.5,,0.0,0.5,
As2,Tc,43,5,adsorbate,2,ads1,1,ads1,1,0,,0.5,,0.0,0.5,
As2,Te,52,5,adsorbate,3,ads1,1,ads1,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
As2,Ti,22,4,adsorbate,2,ads2,1,ads2,1,0,,0.5,,0.0,0.5,
As2,Tl,81,6,adsorbate,2,ads1,1,ads1,1,0,,0.5,,0.0,0.5,
As2,V,23,4,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
As2,W,74,6,adsorbate,2,ads2,1,ads2,1,0,,0.5,,0.0,0.5,
As2,Xe,54,5,adsorbate,3,ads1,1,ads2,0,1,1,0.3333333333333333,0.6666666666666667,0.07554054000000579,-0.3333333333333333,0.33333333333333326
As2,Y,39,5,adsorbate,3,ads1,1,ads1,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
As2,Zn,30,4,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
As2,Zr,40,5,adsorbate,3,ads1,1,ads2,0,1,1,0.3333333333333333,0.6666666666666667,0.3015454900000094,-0.3333333333333333,0.33333333333333326
Bi2I6,Ba,56,6,adsorbate,2,ads1,1,ads1,1,0,,0.5,,0.0,0.5,
Bi2I6,K,19,4,interstitial,2,int4,1,int4,1,0,,0.5,,0.0,0.5,
Bi2I6,Li,3,2,interstitial,2,int0,1,int1,0,0,,0.5,,1.5181388499999995,-0.5,
Bi2I6,Lu,71,6,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
Bi2I6,Lu,71,6,interstitial,4,int4,1,int4,1,1,1,0.25,0.5,0.0,0.75,0.5
Bi2I6,N,7,2,interstitial,2,int1,1,int1,1,0,,0.5,,0.0,0.5,
Bi2I6,Re,75,6,adsorbate,3,ads1,1,ads1,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
Bi2I6,Re,75,6,interstitial,5,int2,1,int3,0,1,0,0.2,0.4,0.18135569999999834,-0.2,-0.4
Bi2I6,Xe,54,5,adsorbate,3,ads0,1,ads2,0,1,1,0.3333333333333333,0.6666666666666667,0.019531069999999318,-0.3333333333333333,0.33333333333333326
Bi2I6,Xe,54,5,interstitial,5,int4,1,int4,1,1,1,0.2,0.4,0.0,0.8,0.6
BiITe,Al,13,3,adsorbate,2,ads5,1,ads5,1,0,,0.5,,0.0,0.5,
BiITe,Cs,55,6,adsorbate,2,ads1,1,ads1,1,0,,0.5,,0.0,0.5,
BiITe,Ge,32,4,adsorbate,2,ads2,1,ads2,1,0,,0.5,,0.0,0.5,
BiITe,Lu,71,6,adsorbate,6,ads5,1,ads2,0,1,1,0.16666666666666666,0.33333333333333337,0.615583939999993,-0.16666666666666666,0.6666666666666666
BiITe,Na,11,3,adsorbate,2,ads1,1,ads1,1,0,,0.5,,0.0,0.5,
BiITe,Re,75,6,adsorbate,6,ads2,1,ads3,0,1,0,0.16666666666666666,0.33333333333333337,1.2310657499999982,-0.16666666666666666,-0.33333333333333337
BiITe,Re,75,6,interstitial,2,int1,1,int3,0,0,,0.5,,0.1831235100000006,-0.5,
BiITe,Tl,81,6,adsorbate,2,ads5,1,ads3,0,0,,0.5,,1.1768069499999998,-0.5,
BiITe,Xe,54,5,adsorbate,6,ads0,1,ads0,1,1,1,0.16666666666666666,0.33333333333333337,0.0,0.8333333333333334,0.6666666666666666
BiITe,Xe,54,5,interstitial,2,int1,1,int3,0,0,,0.5,,1.1510242100000028,-0.5,
C2H2,Ag,47,5,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
C2H2,Al,13,3,adsorbate,5,ads0,1,ads0,1,1,1,0.2,0.4,0.0,0.8,0.6
C2H2,As,33,4,adsorbate,3,ads2,1,ads0,0,1,1,0.3333333333333333,0.6666666666666667,0.030319880000035937,-0.3333333333333333,0.33333333333333326
C2H2,Au,79,6,adsorbate,5,ads0,1,ads1,0,1,1,0.2,0.4,0.02413567000002148,-0.2,0.6
C2H2,B,5,2,adsorbate,4,ads0,1,int2,0,1,0,0.25,0.5,0.017772969999953148,-0.25,-0.5
C2H2,Ba,56,6,adsorbate,3,ads2,1,ads0,0,1,1,0.3333333333333333,0.6666666666666667,0.048068030000024464,-0.3333333333333333,0.33333333333333326
C2H2,Be,4,2,adsorbate,2,ads2,1,ads0,0,0,,0.5,,0.0005839000000373851,-0.5,
C2H2,Bi,83,6,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
C2H2,Br,35,4,adsorbate,3,ads1,1,ads1,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
C2H2,Ca,20,4,adsorbate,3,ads1,1,ads2,0,1,1,0.3333333333333333,0.6666666666666667,0.1388364200000185,-0.3333333333333333,0.33333333333333326
C2H2,Cd,48,5,adsorbate,4,ads2,1,ads0,0,1,1,0.25,0.5,0.08212455000000318,-0.25,0.5
C2H2,Cl,17,3,adsorbate,5,int2,1,ads2,0,1,0,0.2,0.4,0.007607870000015282,-0.2,-0.4
C2H2,Co,27,4,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
C2H2,Cr,24,4,adsorbate,2,ads0,1,ads0,1,0,,0.5,,0.0,0.5,
C2H2,Cs,55,6,adsorbate,3,ads1,1,ads0,0,1,0,0.3333333333333333,0.6666666666666667,0.008323299999972278,-0.3333333333333333,-0.6666666666666667
C2H2,Cu,29,4,adsorbate,4,ads2,1,ads1,0,1,1,0.25,0.5,0.00576719999998021,-0.25,0.5
C2H2,F,9,2,adsorbate,4,ads2,1,ads1,0,1,0,0.25,0.5,0.1119551099999967,-0.25,-0.5
C2H2,Fe,26,4,adsorbate,3,ads2,1,ads0,0,1,1,0.3333333333333333,0.6666666666666667,0.03282948999998325,-0.3333333333333333,0.33333333333333326
C2H2,Ga,31,4,adsorbate,3,ads1,1,ads0,0,1,1,0.3333333333333333,0.6666666666666667,0.007195650000028309,-0.3333333333333333,0.33333333333333326
C2H2,Ge,32,4,adsorbate,2,ads0,1,ads1,0,0,,0.5,,0.0640900700000202,-0.5,
C2H2,Hf,72,6,adsorbate,4,ads2,1,ads0,0,1,0,0.25,0.5,0.025209259999996902,-0.25,-0.5
C2H2,Hg,80,6,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
C2H2,I,53,5,adsorbate,3,ads0,1,ads2,0,1,1,0.3333333333333333,0.6666666666666667,0.004224810000039159,-0.3333333333333333,0.33333333333333326
C2H2,In,49,5,adsorbate,2,ads2,1,ads0,0,0,,0.5,,0.03375835000002825,-0.5,
C2H2,Ir,77,6,adsorbate,3,ads2,1,ads1,0,1,1,0.3333333333333333,0.6666666666666667,0.02088387999998531,-0.3333333333333333,0.33333333333333326
C2H2,K,19,4,adsorbate,3,ads1,1,ads0,0,1,1,0.3333333333333333,0.6666666666666667,0.0388164999999957,-0.3333333333333333,0.33333333333333326
C2H2,Li,3,2,adsorbate,5,ads0,1,ads0,1,1,1,0.2,0.4,0.0,0.8,0.6
C2H2,Lu,71,6,adsorbate,3,ads2,1,ads1,0,1,0,0.3333333333333333,0.6666666666666667,0.09717957999998816,-0.3333333333333333,-0.6666666666666667
C2H2,Mg,12,3,adsorbate,5,ads1,1,ads2,0,1,0,0.2,0.4,0.0047016999999982545,-0.2,-0.4
C2H2,Mn,25,4,adsorbate,3,ads0,1,ads0,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
C2H2,Mo,42,5,adsorbate,3,ads2,1,ads0,0,1,1,0.3333333333333333,0.6666666666666667,0.029632500000047912,-0.3333333333333333,0.33333333333333326
C2H2,N,7,2,adsorbate,4,int2,1,int2,1,1,1,0.25,0.5,0.0,0.75,0.5
C2H2,Na,11,3,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
C2H2,Nb,41,5,adsorbate,4,ads0,1,ads2,0,1,0,0.25,0.5,0.03261333000000377,-0.25,-0.5
C2H2,Ni,28,4,adsorbate,4,ads0,1,ads1,0,1,0,0.25,0.5,0.09624941999999237,-0.25,-0.5
C2H2,O,8,2,adsorbate,5,ads0,1,ads1,0,1,0,0.2,0.4,0.6233113100000196,-0.2,-0.4
C2H2,Os,76,6,adsorbate,3,ads1,1,ads1,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
C2H2,P,15,3,adsorbate,4,ads0,1,ads0,1,1,1,0.25,0.5,0.0,0.75,0.5
C2H2,Pb,82,6,adsorbate,3,ads0,1,ads0,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
C2H2,Pd,46,5,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
C2H2,Pt,78,6,adsorbate,3,ads2,1,ads0,0,1,0,0.3333333333333333,0.6666666666666667,0.06464108000000124,-0.3333333333333333,-0.6666666666666667
C2H2,Rb,37,5,adsorbate,3,ads0,1,ads1,0,1,0,0.3333333333333333,0.6666666666666667,0.08107314000000088,-0.3333333333333333,-0.6666666666666667
C2H2,Re,75,6,adsorbate,3,ads0,1,ads0,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
C2H2,Rh,45,5,adsorbate,3,ads2,1,ads1,0,1,0,0.3333333333333333,0.6666666666666667,0.008516369999995277,-0.3333333333333333,-0.6666666666666667
C2H2,Ru,44,5,adsorbate,3,ads1,1,ads0,0,1,1,0.3333333333333333,0.6666666666666667,0.11456235000002835,-0.3333333333333333,0.33333333333333326
C2H2,S,16,3,adsorbate,4,ads0,1,ads1,0,1,0,0.25,0.5,0.04225447999999732,-0.25,-0.5
C2H2,Sb,51,5,adsorbate,4,ads2,1,ads1,0,1,0,0.25,0.5,0.05692669000001205,-0.25,-0.5
C2H2,Sc,21,4,adsorbate,3,ads1,1,ads2,0,1,0,0.3333333333333333,0.6666666666666667,0.16026398999997493,-0.3333333333333333,-0.6666666666666667
C2H2,Se,34,4,adsorbate,3,ads1,1,ads2,0,1,1,0.3333333333333333,0.6666666666666667,0.000529190000008839,-0.3333333333333333,0.33333333333333326
C2H2,Si,14,3,adsorbate,3,ads0,1,ads2,0,1,1,0.3333333333333333,0.6666666666666667,0.12255055999997921,-0.3333333333333333,0.33333333333333326
C2H2,Sn,50,5,adsorbate,4,ads0,1,ads0,1,1,1,0.25,0.5,0.0,0.75,0.5
C2H2,Sr,38,5,adsorbate,3,ads0,1,ads2,0,1,1,0.3333333333333333,0.6666666666666667,0.03155280999999399,-0.3333333333333333,0.33333333333333326
C2H2,Ta,73,6,adsorbate,3,ads2,1,ads1,0,1,1,0.3333333333333333,0.6666666666666667,0.004857119999995163,-0.3333333333333333,0.33333333333333326
C2H2,Tc,43,5,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
C2H2,Te,52,5,adsorbate,3,ads1,1,ads2,0,1,1,0.3333333333333333,0.6666666666666667,0.0232645800000455,-0.3333333333333333,0.33333333333333326
C2H2,Ti,22,4,adsorbate,3,ads0,1,ads0,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
C2H2,Tl,81,6,adsorbate,3,ads1,1,ads2,0,1,0,0.3333333333333333,0.6666666666666667,0.0017582599999739212,-0.3333333333333333,-0.6666666666666667
C2H2,V,23,4,adsorbate,3,ads2,1,ads0,0,1,0,0.3333333333333333,0.6666666666666667,0.005235440000034508,-0.3333333333333333,-0.6666666666666667
C2H2,W,74,6,adsorbate,3,ads1,1,ads2,0,1,0,0.3333333333333333,0.6666666666666667,0.03817238999999972,-0.3333333333333333,-0.6666666666666667
C2H2,Xe,54,5,adsorbate,3,ads0,1,ads1,0,1,0,0.3333333333333333,0.6666666666666667,0.009105869999984903,-0.3333333333333333,-0.6666666666666667
C2H2,Y,39,5,adsorbate,3,ads1,1,ads1,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
C2H2,Zn,30,4,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
C2H2,Zr,40,5,adsorbate,4,ads0,1,ads2,0,1,1,0.25,0.5,0.05497912999999066,-0.25,0.5
Cr2I6,Ag,47,5,adsorbate,3,ads1,1,ads1,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
Cr2I6,Ag,47,5,interstitial,3,int3,1,int3,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
Cr2I6,Al,13,3,adsorbate,3,ads2,1,ads1,0,1,1,0.3333333333333333,0.6666666666666667,0.045589860000006865,-0.3333333333333333,0.33333333333333326
Cr2I6,Al,13,3,interstitial,3,int3,1,int3,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
Cr2I6,As,33,4,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
Cr2I6,As,33,4,interstitial,3,int1,1,int1,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
Cr2I6,Au,79,6,adsorbate,3,ads1,1,ads1,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
Cr2I6,Au,79,6,interstitial,3,int1,1,int1,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
Cr2I6,B,5,2,adsorbate,2,ads1,1,ads1,1,0,,0.5,,0.0,0.5,
Cr2I6,B,5,2,interstitial,5,int0,1,int0,1,1,1,0.2,0.4,0.0,0.8,0.6
Cr2I6,Ba,56,6,adsorbate,3,ads1,1,ads2,0,1,1,0.3333333333333333,0.6666666666666667,0.02360240999999519,-0.3333333333333333,0.33333333333333326
Cr2I6,Be,4,2,interstitial,5,ads2,1,int3,0,1,1,0.2,0.4,0.17249757999999837,-0.2,0.6
Cr2I6,Br,35,4,adsorbate,3,ads2,1,ads0,0,1,1,0.3333333333333333,0.6666666666666667,0.12334940000000916,-0.3333333333333333,0.33333333333333326
Cr2I6,Br,35,4,interstitial,2,int3,1,int3,1,0,,0.5,,0.0,0.5,
Cr2I6,C,6,2,adsorbate,2,ads0,1,ads0,1,0,,0.5,,0.0,0.5,
Cr2I6,C,6,2,interstitial,4,int0,1,int0,1,1,1,0.25,0.5,0.0,0.75,0.5
Cr2I6,Ca,20,4,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
Cr2I6,Ca,20,4,interstitial,3,int3,1,int3,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
Cr2I6,Cd,48,5,adsorbate,3,ads0,1,ads0,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
Cr2I6,Cd,48,5,interstitial,2,int3,1,int3,1,0,,0.5,,0.0,0.5,
Cr2I6,Cl,17,3,adsorbate,3,ads2,1,ads0,0,1,1,0.3333333333333333,0.6666666666666667,0.14054276000000243,-0.3333333333333333,0.33333333333333326
Cr2I6,Cl,17,3,interstitial,3,int1,1,int1,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
Cr2I6,Co,27,4,adsorbate,3,ads1,1,ads1,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
Cr2I6,Co,27,4,interstitial,3,int3,1,int1,0,1,1,0.3333333333333333,0.6666666666666667,0.4238158800000069,-0.3333333333333333,0.33333333333333326
Cr2I6,Cs,55,6,adsorbate,3,ads1,1,ads1,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
Cr2I6,Cs,55,6,interstitial,2,int3,1,int3,1,0,,0.5,,0.0,0.5,
Cr2I6,Cu,29,4,adsorbate,3,ads1,1,ads2,0,1,1,0.3333333333333333,0.6666666666666667,0.3460517199999913,-0.3333333333333333,0.33333333333333326
Cr2I6,Cu,29,4,interstitial,3,int3,1,int3,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
Cr2I6,F,9,2,adsorbate,3,ads0,1,ads0,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
Cr2I6,F,9,2,interstitial,4,int2,1,int1,0,1,0,0.25,0.5,0.3969578399999987,-0.25,-0.5
Cr2I6,Fe,26,4,adsorbate,3,ads1,1,ads1,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
Cr2I6,Fe,26,4,interstitial,3,int1,1,int1,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
Cr2I6,Ga,31,4,adsorbate,2,ads1,1,ads1,1,0,,0.5,,0.0,0.5,
Cr2I6,Ga,31,4,interstitial,2,int3,1,int3,1,0,,0.5,,0.0,0.5,
Cr2I6,Ge,32,4,adsorbate,2,ads2,1,ads2,1,0,,0.5,,0.0,0.5,
Cr2I6,Ge,32,4,interstitial,2,int1,1,int1,1,0,,0.5,,0.0,0.5,
Cr2I6,H,1,1,adsorbate,3,ads0,1,ads0,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
Cr2I6,H,1,1,interstitial,4,int1,1,int2,0,1,1,0.25,0.5,3.611083100000001,-0.25,0.5
Cr2I6,Hf,72,6,adsorbate,3,ads2,1,ads1,0,1,1,0.3333333333333333,0.6666666666666667,0.06202612000001295,-0.3333333333333333,0.33333333333333326
Cr2I6,Hg,80,6,adsorbate,3,ads2,1,ads2,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
Cr2I6,Hg,80,6,interstitial,2,int3,1,int3,1,0,,0.5,,0.0,0.5,
Cr2I6,Ir,77,6,adsorbate,3,ads1,1,ads1,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
Cr2I6,Ir,77,6,interstitial,3,int1,1,int3,0,1,1,0.3333333333333333,0.6666666666666667,0.8047648000000152,-0.3333333333333333,0.33333333333333326
Cr2I6,K,19,4,adsorbate,3,ads1,1,ads1,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
Cr2I6,K,19,4,interstitial,3,int3,1,int3,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
Cr2I6,Li,3,2,adsorbate,3,ads1,1,ads1,1,1,1,0.3333333333333333,0.6666666666666667,0.0,0.6666666666666667,0.33333333333333326
Cr2I6,Li,3,2,interstitial,2,int3,1,int3,1,0,,0.5,,0.0,0.5,
Cr2I6,Lu,71,6,adsorbate,3,ads2,1,ads1,0,1,1,0.3333333333333333,0.6666666666666667,0.35374944000000136,-0.3333333333333333,0.33333333333333326
